Importing IMU data from the Matlab matrix file : test_data/xsens_acc.mat
Importing IMU data from the Matlab matrix file : test_data/xsens_gyro.mat
Accelerometer Calibration: Calibrating...
Accelerometers Calibration: Extracted 42 intervals using threshold multiplier 2 -> Trying calibrate... 
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
  26  2.722652e+17    1.19e+16    1.21e+18   1.52e+00   5.92e-01  1.54e+00        1    8.17e-04    2.08e-02
  27  2.607908e+17    1.15e+16    1.18e+18   1.41e+00   5.90e-01  1.55e+00        1    8.52e-04    2.16e-02
  28  2.497386e+17    1.11e+16    1.15e+18   1.32e+00   5.88e-01  1.56e+00        1    8.52e-04    2.25e-02
  29  2.390997e+17    1.06e+16    1.11e+18   1.25e+00   5.86e-01  1.56e+00        1    8.93e-04    2.34e-02
  30  2.288640e+17    1.02e+16    1.08e+18   1.18e+00   5.85e-01  1.57e+00        1    8.53e-04    2.43e-02
  31  2.190214e+17    9.84e+15    1.05e+18   1.11e+00   5.83e-01  1.58e+00        1    8.51e-04    2.51e-02
  32  2.095611e+17    9.46e+15    1.02e+18   1.06e+00   5.82e-01  1.59e+00        1    8.59e-04    2.60e-02
  33  2.004722e+17    9.09e+15    9.91e+17   1.01e+00   5.80e-01  1.59e+00        1    8.25e-04    2.68e-02
  34  1.917437e+17    8.73e+15    9.62e+17   9.60e-01   5.79e-01  1.60e+00        1    8.33e-04    2.77e-02
  35  1.833644e+17    8.38e+15    9.34e+17   9.17e-01   5.78e-01  1.61e+00        1    8.52e-04    2.85e-02
  36  1.753232e+17    8.04e+15    9.06e+17   8.77e-01   5.77e-01  1.61e+00        1    8.51e-04    2.94e-02
  37  1.676091e+17    7.71e+15    8.79e+17   8.41e-01   5.75e-01  1.62e+00        1    8.51e-04    3.03e-02
  38  1.602110e+17    7.40e+15    8.52e+17   8.07e-01   5.74e-01  1.62e+00        1    9.23e-04    3.12e-02
  39  1.531182e+17    7.09e+15    8.26e+17   7.77e-01   5.73e-01  1.63e+00        1    8.87e-04    3.21e-02
  40  1.463198e+17    6.80e+15    8.01e+17   7.49e-01   5.72e-01  1.63e+00        1    8.60e-04    3.29e-02
  41  1.398055e+17    6.51e+15    7.76e+17   7.23e-01   5.71e-01  1.64e+00        1    8.16e-04    3.38e-02
  42  1.335649e+17    6.24e+15    7.52e+17   7.00e-01   5.70e-01  1.64e+00        1    8.16e-04    3.46e-02
  43  1.275879e+17    5.98e+15    7.28e+17   6.78e-01   5.69e-01  1.65e+00        1    8.73e-04    3.55e-02
  44  1.218647e+17    5.72e+15    7.06e+17   6.59e-01   5.68e-01  1.65e+00        1    8.52e-04    3.63e-02
  45  1.163856e+17    5.48e+15    6.83e+17   6.42e-01   5.67e-01  1.65e+00        1    8.51e-04    3.72e-02
  46  1.111414e+17    5.24e+15    6.62e+17   6.26e-01   5.66e-01  1.66e+00        1    8.50e-04    3.81e-02
  47  1.061230e+17    5.02e+15    6.41e+17   6.12e-01   5.65e-01  1.66e+00        1    8.95e-04    3.90e-02
  48  1.013214e+17    4.80e+15    6.20e+17   5.99e-01   5.64e-01  1.66e+00        1    8.97e-04    3.99e-02
  49  9.672824e+16    4.59e+15    6.00e+17   5.88e-01   5.64e-01  1.67e+00        1    8.17e-04    4.07e-02
  50  9.233509e+16    4.39e+15    5.81e+17   5.78e-01   5.63e-01  1.67e+00        1    8.16e-04    4.15e-02
residual 9.23351e+16
Accelerometers Calibration: Extracted 38 intervals using threshold multiplier 5 -> Trying calibrate... 
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  5.059871e+17    0.00e+00    4.52e+18   0.00e+00   0.00e+00  1.00e+04        0    4.76e-04    6.32e-04
   1  5.725800e+19   -5.68e+19    4.52e+18   2.37e+04  -1.12e+02  5.00e+03        1    4.20e-04    1.06e-03
   2  5.212278e+19   -5.16e+19    4.52e+18   2.24e+04  -1.02e+02  1.25e+03        1    4.40e-04    1.51e-03
   3  4.023472e+19   -3.97e+19    4.52e+18   1.88e+04  -7.94e+01  1.56e+02        1    4.14e-04    1.93e-03
   4  1.098595e+19   -1.05e+19    4.52e+18   9.73e+03  -2.47e+01  9.77e+00        1    4.15e-04    2.35e-03
   5  5.351902e+17   -2.92e+16    4.52e+18   1.31e+03  -2.02e-01  3.05e-01        1    4.15e-04    2.77e-03
   6  4.800070e+17    2.60e+16    3.26e+18   2.30e+02   4.27e-01  3.04e-01        1    8.18e-04    3.60e-03
   7  4.671682e+17    1.28e+16    2.45e+18   1.36e+02   4.68e-01  3.04e-01        1    8.56e-04    4.46e-03
   8  4.592389e+17    7.93e+15    1.92e+18   8.11e+01   5.42e-01  3.04e-01        1    8.23e-04    5.29e-03
   9  4.533035e+17    5.94e+15    1.59e+18   5.02e+01   6.31e-01  3.10e-01        1    7.92e-04    6.09e-03
  10  4.482138e+17    5.09e+15    1.36e+18   3.20e+01   7.12e-01  3.35e-01        1    8.36e-04    6.94e-03
  11  4.433090e+17    4.90e+15    1.22e+18   2.10e+01   7.76e-01  4.03e-01        1    8.20e-04    7.76e-03
  12  4.379679e+17    5.34e+15    1.13e+18   1.42e+01   8.21e-01  5.49e-01        1    9.05e-04    8.67e-03
  13  4.313991e+17    6.57e+15    1.11e+18   1.59e+01   8.41e-01  8.04e-01        1    8.26e-04    9.51e-03
  14  4.227141e+17    8.68e+15    1.17e+18   3.13e+01   8.19e-01  1.08e+00        1    7.92e-04    1.03e-02
  15  4.116599e+17    1.11e+16    1.28e+18   4.10e+01   7.55e-01  1.25e+00        1    7.93e-04    1.11e-02
  16  3.988030e+17    1.29e+16    1.36e+18   3.10e+01   6.90e-01  1.32e+00        1    7.93e-04    1.19e-02
  17  3.850190e+17    1.38e+16    1.40e+18   1.87e+01   6.50e-01  1.36e+00        1    8.34e-04    1.27e-02
  18  3.709684e+17    1.41e+16    1.40e+18   1.10e+01   6.29e-01  1.38e+00        1    7.95e-04    1.36e-02
  19  3.569959e+17    1.40e+16    1.39e+18   6.71e+00   6.17e-01  1.40e+00        1    9.01e-04    1.45e-02
  20  3.432743e+17    1.37e+16    1.37e+18   4.39e+00   6.10e-01  1.42e+00        1    8.28e-04    1.53e-02
  21  3.298899e+17    1.34e+16    1.34e+18   3.13e+00   6.05e-01  1.43e+00        1    8.28e-04    1.61e-02
  22  3.168841e+17    1.30e+16    1.31e+18   2.43e+00   6.02e-01  1.44e+00        1    9.09e-04    1.70e-02
  23  3.042761e+17    1.26e+16    1.28e+18   2.03e+00   5.99e-01  1.45e+00        1    8.28e-04    1.79e-02
  24  2.920727e+17    1.22e+16    1.24e+18   1.77e+00   5.96e-01  1.47e+00        1    8.61e-04    1.87e-02
  25  2.802744e+17    1.18e+16    1.21e+18   1.59e+00   5.94e-01  1.48e+00        1    8.61e-04    1.96e-02
